id,name,code
gati_goods_code_126,ELECTRONICS,24
gati_goods_code_127,ELECTRICAL APPLIANCES,25
gati_goods_code_128,FINISHED LEATHER,26
gati_goods_code_129,FISH SEEDS,27
gati_goods_code_130,FLOWER BULB,28
gati_goods_code_131,FOOD STUFF,29
gati_goods_code_132,GLASS/GLASSWARE,30
gati_goods_code_133,LIVE ANIMAL,31
gati_goods_code_134,MACHINERY/MECHANICAL ITEMS,32
gati_goods_code_135,MISC MANUFACTURED APP,33
gati_goods_code_136,MUSICAL INSTRUMENT,34
gati_goods_code_137,HOME THEATER,HT01
gati_goods_code_138,EWAYBILL EXEMPTED GOODS,EWBE
